ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
858;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 9";"119421, г.Москва, ул.Новаторов, д.34, корп.1, 2";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"936-40-06";"http://schuz9.mskobr.ru/";"school9msk@mail.ru";"37,523984";"55,663132";"87013757";
859;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 119";"119331, г.Москва, ул. Марии Ульяновой, дом 5А";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"138-03-58";"http://schuz119.mskobr.ru";"sch119@yandex.ru";"37,522878";"55,678122";"87013758";
860;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 121";"117393, г. Москва, ул. Гарибальди, дом 28, корпус 3";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"128-67-11";"http://schuz121.mskobr.ru/";"skola121@mail.ru";"37,54904";"55,669956";"87013759";
861;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 96";"123557 г.Москва, Б.Тишинский пер, д.39";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 252-26-24";"schc96.mskobr.ru/";"sch96sch@yandex.ru";"37,569662";"55,767421";"87013769";
862;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 853";"124460, г. Москва, Зеленоград, корп. 913А";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"531-13-95";"schzg853.mskobr.ru";"s853@zou.ru";"37,191699";"55,983099";"87013785";
863;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 853";"124460, г. Москва, Зеленоград, корп. 913А";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"531-13-95";"schzg853.mskobr.ru";"s853@zou.ru";"37,184139";"55,984088";"87013786";
864;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 853";"124460, г. Москва, Зеленоград, корп. 913А";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"531-13-95";"schzg853.mskobr.ru";"s853@zou.ru";"37,190386";"55,985213";"87013787";
865;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 853";"124460, г. Москва, Зеленоград, корп. 913А";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"531-13-95";"schzg853.mskobr.ru";"s853@zou.ru";"37,186687";"55,983116";"87013788";
866;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 853";"124460, г. Москва, Зеленоград, корп. 913А";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"531-13-95";"schzg853.mskobr.ru";"s853@zou.ru";"37,19232";"55,985065";"87013789";
867;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 853";"124460, г. Москва, Зеленоград, корп. 913А";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"531-13-95";"schzg853.mskobr.ru";"s853@zou.ru";"37,17299";"55,994422";"87013790";
868;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1151";"124617, г. Москва, Зеленоград, корп. 1469";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 738-55-46";"schzg1151.mskobr.ru";"s1151@zou.ru";"37,148686";"55,987494";"87013794";
869;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1151";"124617, г. Москва, Зеленоград, корп. 1469";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 738-55-46";"schzg1151.mskobr.ru";"s1151@zou.ru";"37,148686";"55,987494";"87013795";
870;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1151";"124617, г. Москва, Зеленоград, корп. 1469";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 738-55-46";"schzg1151.mskobr.ru";"s1151@zou.ru";"37,15552";"55,987268";"87013796";
871;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1194";"124683, г. Москва, Зеленоград, корп. 1556";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-40-02";"dskz2290.mskobr.ru";"s1194@zou.ru";"37,157764";"55,97995";"87013797";
872;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1194";"124683, г. Москва, Зеленоград, корп. 1556";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-40-02";"dskz2290.mskobr.ru";"s1194@zou.ru";"37,15486";"55,979378";"87013798";
873;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1194";"124683, г. Москва, Зеленоград, корп. 1556";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-40-02";"dskz2290.mskobr.ru";"s1194@zou.ru";"37,157925";"55,981126";"87013799";
874;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 199";"117036 г. Москва, ул. Дм. Ульянова, д. 15, корп.1";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"126-09-80";"http://schg199.mskobr.ru";"sch199@mail.ru";"37,571564";"55,690156";"87028610";
875;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 852";"124460. г. Москва, Зеленоград, корп.1115";"Зеленоградский административный округ";"район Силино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 731-06-62";"dskz1778.mskobr.ru";"s852@zou.ru";"37,188382";"55,997777";"87028621";
876;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 852";"124460. г. Москва, Зеленоград, корп.1115";"Зеленоградский административный округ";"район Силино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 731-06-62";"dskz1778.mskobr.ru";"s852@zou.ru";"37,186148";"55,99696";"87028622";
877;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1940";"124365, г. Москва, Зеленоград, корп. 1642";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-04-93";"schzg1940.mskobr.ru/";"s1940@zou.ru";"37,152232";"55,970814";"87028623";
878;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 513";"115088, г. Москва, ул. Машиностроения 2-я, д. 3";"Юго-Восточный административный округ";"Южнопортовый район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 675-29-09";"schuv513.mskobr.ru";"school-513@mail.ru";"37,672824";"55,71334";"87028624";
879;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1623";"117587 г. Москва, Варшавское шоссе, дом 126А";"Южный административный округ";"район Чертаново Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"315-37-19";"schu1623.mskobr.ru/";"sch1623@sinergi.ru";"37,61404";"55,624974";"87028658";
880;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 982 имени маршала бронетанковых войск П.П. Полубоярова";"115304 Москва, ул.Кошкина, 13, к.2";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 320-78-26";"schu770.mskobr.ru";"sch982@sinergi.ru";"37,674764";"55,640823";"87028659";
881;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 982 имени маршала бронетанковых войск П.П. Полубоярова";"115304 Москва, ул.Кошкина, 13, к.2";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 320-78-26";"schu770.mskobr.ru";"sch982@sinergi.ru";"37,676418";"55,634125";"87028660";
882;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 982 имени маршала бронетанковых войск П.П. Полубоярова";"115304 Москва, ул.Кошкина, 13, к.2";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 320-78-26";"schu770.mskobr.ru";"sch982@sinergi.ru";"37,680105";"55,633899";"87028661";
883;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138";"123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 199-27-22; (499) 199-09-79";"sch138.mskobr.ru";"sch138@szouo.ru";"37,466639";"55,779613";"87028662";
884;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138";"123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 199-27-22; (499) 199-09-79";"sch138.mskobr.ru";"sch138@szouo.ru";"37,466423";"55,782289";"87028663";
885;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138";"123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 199-27-22; (499) 199-09-79";"sch138.mskobr.ru";"sch138@szouo.ru";"37,467193";"55,780813";"87028664";
886;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138";"123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 199-27-22; (499) 199-09-79";"sch138.mskobr.ru";"sch138@szouo.ru";"37,464521";"55,781287";"87028665";
887;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667";"117403 г. Москва Востряковский проезд, 13а";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-36-66";"schu667.mskobr.ru";"sch667@sinergi.ru";"37,645248";"55,577834";"87028682";
888;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667";"117403 г. Москва Востряковский проезд, 13а";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-36-66";"schu667.mskobr.ru";"sch667@sinergi.ru";"37,649866";"55,577553";"87028683";
889;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667";"117403 г. Москва Востряковский проезд, 13а";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-36-66";"schu667.mskobr.ru";"sch667@sinergi.ru";"37,64707";"55,576909";"87028684";
890;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667";"117403 г. Москва Востряковский проезд, 13а";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-36-66";"schu667.mskobr.ru";"sch667@sinergi.ru";"37,650299";"55,576392";"87028685";
891;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667";"117403 г. Москва Востряковский проезд, 13а";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-36-66";"schu667.mskobr.ru";"sch667@sinergi.ru";"37,650754";"55,575251";"87028686";
892;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 667";"117403 г. Москва Востряковский проезд, 13а";"Южный административный округ";"район Бирюлёво Западное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 383-36-66";"schu667.mskobr.ru";"sch667@sinergi.ru";"37,646541";"55,579285";"87028687";
893;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1441 ""Бронная слобода""";"123104 г.Москва, Б. Козихинский пер., д.5, стр.3";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"202-80-27";"coc1441.mskobr.ru";"centr1441@mail.ru";"37,597978";"55,761723";"87028688";
894;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1441 ""Бронная слобода""";"123104 г.Москва, Б. Козихинский пер., д.5, стр.3";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"202-80-27";"coc1441.mskobr.ru";"centr1441@mail.ru";"37,597283";"55,762168";"87028689";
895;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1441 ""Бронная слобода""";"123104 г.Москва, Б. Козихинский пер., д.5, стр.3";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"202-80-27";"coc1441.mskobr.ru";"centr1441@mail.ru";"37,597511";"55,76187";"87028690";
896;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1441 ""Бронная слобода""";"123104 г.Москва, Б. Козихинский пер., д.5, стр.3";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"202-80-27";"coc1441.mskobr.ru";"centr1441@mail.ru";"37,598208";"55,761849";"87028691";
897;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426";"115563 г. Москва, Борисовский пр-д, д.10, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 394-02-22";"schu426.mskobr.ru";"sch426@sinergi.ru";"37,720084";"55,623262";"87028693";
898;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426";"115563 г. Москва, Борисовский пр-д, д.10, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 394-02-22";"schu426.mskobr.ru";"sch426@sinergi.ru";"37,720787";"55,621985";"87028694";
899;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 426";"115563 г. Москва, Борисовский пр-д, д.10, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 394-02-22";"schu426.mskobr.ru";"sch426@sinergi.ru";"37,724106";"55,625213";"87028695";
900;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 544";"115582  г. Москва, Каширское шоссе, д.116, к.3";"Южный административный округ";"район Орехово-Борисово Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 398-79-81; (495) 398-88-54";"schu544.mskobr.ru";"sch544@sinergi.ru";"37,715729";"55,606018";"87028696";
901;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 900";"117535 г. Москва, 3-ий Дорожный проезд, дом 6 А";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 382-83-88; (495) 382-99-02";"schu900.mskobr.ru";"sch900@sinergi.ru";"37,611527";"55,598808";"87028697";
902;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 900";"117535 г. Москва, 3-ий Дорожный проезд, дом 6 А";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 382-83-88; (495) 382-99-02";"schu900.mskobr.ru";"sch900@sinergi.ru";"37,613042";"55,5986";"87028698";
903;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 900";"117535 г. Москва, 3-ий Дорожный проезд, дом 6 А";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 382-83-88; (495) 382-99-02";"schu900.mskobr.ru";"sch900@sinergi.ru";"37,614625";"55,599982";"87028699";
904;"Негосударственное образовательное частное учреждение средняя общеобразовательная школа ""Москвич""";"";"Юго-Западный административный округ";"Ломоносовский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 138-59-12";"noumoskvich.mskobr.ru";"info@licey-moskvich.ru";"37,527157";"55,678058";"87028702";
905;"Автономная некоммерческая образовательная организация Средняя общеобразовательная школа ""Колледж - XXI""";"";"Западный административный округ";"район Солнцево";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 439-41-55";"";"collegexxi@yandex.ru";"37,402272";"55,648169";"87028704";
906;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 424";"111020 г. Москва ул. Авиамоторная д.1";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"361-20-60";"schuv424.mskobr.ru";"shkola424@mail.ru";"37,708009";"55,763568";"87028705";
907;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 947";"115372 г. Москва, ул. Лебедянская д.16";"Южный административный округ";"район Бирюлёво Восточное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"329-86-89";"schu947.mskobr.ru";"sch947@sinergi.ru";"37,674542";"55,58477";"87028707";
908;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 777";"109428, г. Москва, ул. Маевок, дом 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 171-96-10";"hhtp://schuv777.mskobr.ru";"school777@inbox.ru";"37,770059";"55,728611";"87028727";
909;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 777";"109428, г. Москва, ул. Маевок, дом 4";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 171-96-10";"hhtp://schuv777.mskobr.ru";"school777@inbox.ru";"37,768727";"55,725269";"87028728";
910;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 53";"119261, г. Москва, улица Панфёрова, дом 8, корпус 1";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"134-55-97";"http://schuz53.mskobr.ru";"adm@sch53.ru";"37,540908";"55,681283";"87028729";
911;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 53";"119261, г. Москва, улица Панфёрова, дом 8, корпус 1";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"134-55-97";"http://schuz53.mskobr.ru";"adm@sch53.ru";"37,543565";"55,680986";"87028730";
912;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1104";"117647, г. Москва, ул. Академика Капицы, д. 14 А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"420-17-22";"http://schuz1104.mskobr.ru/";"sch1104@mail.ru";"37,52331";"55,63078";"87028733";
913;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1104";"117647, г. Москва, ул. Академика Капицы, д. 14 А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"420-17-22";"http://schuz1104.mskobr.ru/";"sch1104@mail.ru";"37,52286";"55,62832";"87028734";
914;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985";"125466, г. Москва, ул. Ландышевая, дом 8";"Северо-Западный административный округ";"район Куркино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 401-98-19";"cosz1985.mskobr.ru";"sch1985@szouo.ru";"37,398425";"55,890887";"87028744";
915;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985";"125466, г. Москва, ул. Ландышевая, дом 8";"Северо-Западный административный округ";"район Куркино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 401-98-19";"cosz1985.mskobr.ru";"sch1985@szouo.ru";"37,39494";"55,884629";"87028745";
916;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 258";"127490 г. Москва, Северный бульвар, д. 4 А";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 204-87-75";"pgym1627.svao.mskobr.ru";"sch258@yandex.ru";"37,610903";"55,864601";"87028750";
917;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 311";"129281, г. Москва, Олонецкий проезд, дом 6";"Северо-Восточный административный округ";"Бабушкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 470-44-90; (495) 470-44-52";"dskv1312.mskobr.ru";"311school@mail.ru";"37,662907";"55,87237";"87028751";
918;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 604";"124498, г. Москва, Зеленоград, корп. 222А";"Зеленоградский административный округ";"район Матушкино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 734-16-00";"schzg604.mskobr.ru/";"s604@zou.ru";"37,200687";"56,002789";"87028755";
919;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 604";"124498, г. Москва, Зеленоград, корп. 222А";"Зеленоградский административный округ";"район Матушкино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 734-16-00";"schzg604.mskobr.ru/";"s604@zou.ru";"37,199908";"56,003911";"87028756";
