ROWNUM;CommonName;FullName;ShortName;AdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;MainHallCapacity;AdditionalHallCapacity;X_WGS;Y_WGS;GLOBALID;
182;"Театр";"Театр старинной музыки МГУ";"Театр";"Западный административный округ";"район Раменки";"Воробьевы горы";"";"";"(495) 939 13 86";"";"pasha2186@list.ru";"";"";"tsm-msu.ru";"";"";"";"";"37.530879";"55.702887";"85988024";
183;"Театр";"Три лика";"Театр";"Центральный административный округ";"Пресненский район";"Тверской б-р, д.11";"";"";"(916) 813 81 36";"";"trilika@mail.ru";"";"";"trilika.narod.ru";"";"";"";"";"37.599565";"55.759897";"85988025";
184;"Театр";"Арт-хаус";"Театр";"Восточный административный округ";"район Сокольники";"ул. Гастелло, д.39";"";"";"(499) 268 23 08, (495) 603 07 79, 603 09 43";"";"arthouse.teatr@yandex.ru";"";"";"arthouse-vt.ru";"";"";"";"";"37.692915";"55.783651";"85988026";
185;"Театр";"Арбат-опера";"Театр";"Центральный административный округ";"район Арбат";"ул. Арбат, д.35";"";"";"(495) 248 18 05";"";"";"";"";"spr.ruarbat/arbat-opera.html";"";"";"";"";"37.591566";"55.749077";"85988027";
186;"Театр";"Costa del Flamenco п/у Лилии Сафиной";"Театр";"Центральный административный округ";"Таганский район";"ул. Волочаевская, д.11/15";"";"";"(495) 962 04 27";"";"";"";"";"safina.ru";"";"";"";"";"37.675025";"55.749039";"85988028";
187;"Театр";"На Пресне";"Театр";"Центральный административный округ";"Пресненский район";"Шмитовский пр-д, д.2";"";"";"(495) 205 19 72";"";"";"";"";"";"";"";"";"";"37.556792";"55.759192";"85988029";
188;"Театр";"Академия хореографии";"Театр";"Центральный административный округ";"район Хамовники";"ул. 2-я Фрунзенская, д.5";"";"";"(499) 242 86 11";"";"balletacademy@yandex.ru";"";"";"balletacademy.ru";"";"";"";"";"37.580592";"55.721552";"85988030";
189;"Театр";"Московский армянский театр п/р Славы Степаняна";"Театр";"Центральный административный округ";"Мещанский район";"ул. Советской Армии, д.8а";"";"";"(903) 674 18 84";"";"mosarmteatr@mail.ru";"";"";"mosarmteatr.ru";"";"";"";"";"37.618109";"55.787504";"85988031";
190;"Театр";"Театр восточного танца «Мохсира»";"Театр";"Центральный административный округ";"Пресненский район";"Пресненский Вал, д.29";"";"";"(495) 688 10 05, 106 05 06";"";"";"";"";"mohsira.ru";"";"";"";"";"37.572585";"55.772545";"85988032";
191;"Театр";"Opera";"Театр";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Тополевая аллея, д.6";"";"";"(905) 538 37 21";"";"";"";"";"";"";"";"";"";"37.796478";"55.690384";"85988033";
192;"Театр";"На Карамышевской";"Театр";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"ул. Народного ополчения, д.4";"";"";"(495) 191 64 79, 191 01 75, 478 70 85";"";"info@karam.ru";"";"";"karam.ru";"";"";"";"";"37.476375";"55.77013";"85988034";
193;"Театр";"Московская драматическая группа";"Театр";"Юго-Западный административный округ";"район Ясенево";"ул. Паустовского, д.2";"";"";"(495) 425 80 00, 712 40 03";"";"org@mosdrama.ru";"";"";"mosdrama.ru";"";"";"";"";"37.541546";"55.60328";"85988035";
194;"Театр";"Белорусский вокзал";"Театр";"Центральный административный округ";"Тверской район";"ул. Лесная, д.18";"";"";"(495) 251 89 21, (499) 973 49 54";"";"";"";"";"";"";"";"";"";"37.590251";"55.778988";"85988036";
195;"Театр";"Останкинский театр";"Театр";"Северо-Восточный административный округ";"Останкинский район";"ул. 1-я Останкинская, д.5";"";"";"(495) 683 46 45";"";"";"";"";"museum.rumuseum/ostankino/2.htm";"";"";"";"";"37.614637";"55.824984";"85988037";
196;"Театр";"Царицыно";"Театр";"Южный административный округ";"район Бирюлёво Восточное";"ул. Прохладная, д.28";"";"";"(495) 321 51 16";"";"";"";"";"mogtyz.ru";"";"";"";"";"37.673045";"55.616252";"85988038";
197;"Театр";"Серпуховский музыкально-драматический театр";"Театр";"Значения отсутствуют в справочнике";"Значения отсутствуют в справочнике";"МО, г.Серпухов, ул. Чехова, д.58/27";"";"";"(4967) 72 19 94, 72 14 31";"";"";"";"";"";"";"";"";"";"37.544307";"55.417785";"85988039";
198;"Театр";"Класс-центр";"Театр";"Северный административный округ";"район Коптево";"ул. Большая Академическая, д.11а";"";"";"(499) 767 08 76, 767 09 55";"";"class-center@mail.ru";"";"";"klass-center.ru";"";"";"";"";"37.524753";"55.82201";"85988040";
199;"Театр";"Возвращение";"Театр";"Северный административный округ";"район Левобережный";"ул. Беломорская, д.26";"";"";"(499) 196 02 26";"";"vozvrashchenie@bk.ru";"";"";"vozvrashchenie-m.ru";"";"";"";"";"37.47576";"55.864769";"85988041";
200;"Театр";"Театральная студия школы №1089";"Театр";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"ул. Берзарина, д.19, корп. 2";"";"";"(499) 197 00 97";"";"hsch1089@czouo.ru";"";"";"";"";"";"";"";"37.476476";"55.786784";"85988042";
201;"Театр";"Лаборатория студенческого театра МИЭМ";"Театр";"Северный административный округ";"район Беговой";"Ленинградский пр-т, д.17";"";"";"(499) 502 88 67";"";"";"";"";"";"";"";"";"";"37.570733";"55.781965";"85988043";
202;"Театр";"Стрела";"Театр";"Значения отсутствуют в справочнике";"Значения отсутствуют в справочнике";"МО, г. Жуковский, ул. Кирова, д.3";"";"";"(495) 556 57 72";"";"";"";"";"";"";"";"";"";"37.995718";"55.666244";"85988044";
203;"Театр";"Русский терем";"Театр";"Центральный административный округ";"район Якиманка";"ул. Житная, д.6";"";"";"(926) 380 53 03";"";"russterem@inbox.ru";"";"";"teremru.ru";"";"";"";"";"37.620544";"55.730525";"85988045";
204;"Театр";"Честный театр «Рупор»";"Театр";"Северо-Западный административный округ";"район Щукино";"ул. Рогова, д.1";"";"";"(967) 120 97 17, (925) 030 56 93";"";"teatr-rupor@mail.ru";"";"";"";"";"";"";"";"37.464125";"55.795258";"85988046";
205;"Театр";"Студия-69";"Театр";"Северо-Восточный административный округ";"Бабушкинский район";"ул. Верхоянская, д.6, корп. 1";"";"";"(495) 470 03 10";"";"studio-69@mail.ru";"";"";"teatr.obrazec.ru";"";"";"";"";"37.669573";"55.858475";"85988047";
206;"Театр";"Фигаро";"Театр";"Центральный административный округ";"Басманный район";"Лубянский пр., д.3/6";"";"";"(903) 152 05 97";"";"barkeev@rambler.ru";"";"";"teatrmarionetok1.narod.ru";"";"";"";"";"37.629014";"55.759331";"85988048";
207;"Театр";"Арт-компания";"Театр";"Северный административный округ";"район Сокол";"цл. Дубосековская, д.8";"";"";"(925) 816 39 91";"";"";"";"";"";"";"";"";"";"37.498637";"55.811448";"85988049";
208;"Театр";"Театр живой анимации";"Театр";"Центральный административный округ";"Пресненский район";"ул. Большая Никитская, д.53";"";"";"(495) 785 61 95";"";"mazina@antipod-group.ru";"";"";"liveanimation.ru";"";"";"";"";"37.587764";"55.75797";"85988050";
209;"Театр";"Я сам артист";"Театр";"Южный административный округ";"Донской район";"Севастопольский пр-т, д.5, корп. 3";"";"";"(495) 123 03 11";"";"";"";"";"";"";"";"";"";"37.612987";"55.691118";"85978576";
210;"Театр";"Театр-группа «Поиск предмета»";"Театр";"Центральный административный округ";"район Хамовники";"Смоленская-Сенная пл., д.27/29, стр. 7";"";"";"(906) 719 21 70";"";"chapa@theatre.ru";"";"";"poisk.theatre.ru";"";"";"";"";"37.581603";"55.744803";"85978577";
211;"Театр";"Польский театр п/р Евгения Лавренчука";"Театр";"Восточный административный округ";"район Сокольники";"ул. Стромынка, д.6";"";"";"(499) 268 00 71";"";"info@ptwm.ru";"";"";"ptwm.ru";"";"";"";"";"37.687272";"55.79124";"85978578";
212;"Театр";"Прямой эфир";"Театр";"Центральный административный округ";"Таганский район";"ул. Александра Солженицына, д.9а";"";"";"(915) 491 64 26, (926) 111 46 01";"";"info@acclamation.ru";"";"";"acclamation.ru";"";"";"";"";"37.656553";"55.743027";"85978579";
213;"Театр";"Город N";"Театр";"Центральный административный округ";"Тверской район";"Петровские линии, д.1";"";"";"(903) 123 63 70";"";"";"";"";"teatr-n.ucoz.org";"";"";"";"";"37.617663";"55.764178";"85978580";
214;"Театр";"Театр песни «Собеседник»";"Театр";"Северо-Восточный административный округ";"Останкинский район";"пр-т Мира, д.119";"";"";"(905) 785 35 50";"";"";"";"";"tp-sobesednik.com";"";"";"";"";"37.633697";"55.828672";"85978581";
215;"Театр";"Театр юных москвичей";"Театр";"Юго-Западный административный округ";"Гагаринский район";"ул. Косыгина, д.17";"";"";"(495) 939 88 59";"";"";"";"";"tum-theatre.ru";"";"";"";"";"37.554434";"55.703006";"85978582";
216;"Театр";"Театральная студия «Арт-стиль»";"Театр";"Центральный административный округ";"Таганский район";"ул. Библиотечная, д.23";"";"";"(495) 784 30 80";"";"bugulov1971@mail.ru";"";"";"uverenost.ru";"";"";"";"";"37.675486";"55.744885";"85978583";
217;"Театр";"Ибрус";"Театр";"Центральный административный округ";"Пресненский район";"ул. Дружинниковская, д.15, стр. 1";"";"";"(499) 255 94 98, 255 90 60";"";"ibrus@yandex.ru, gverevkina@mail.ru";"";"";"rustam-ibragimbekov.ru";"";"";"";"";"37.575252";"55.759668";"85978584";
218;"Театр";"Студенческий театр ИСИ";"Театр";"Западный административный округ";"район Филёвский Парк";"ул. Новозаводская, д.27а";"";"";"(495) 749 83 80, 749 83 80";"";"";"";"";"";"";"";"";"";"37.498385";"55.750316";"85978585";
219;"Театр";"Твой театр";"Театр";"Центральный административный округ";"район Якиманка";"ул. Большая Полянка, д.50/1";"";"";"(909) 976 94 07";"";"mail@kornichenko.ru";"";"";"kornichenko.ru";"";"";"";"";"37.619665";"55.732119";"85978586";
220;"Театр";"Театр, которого нет";"Театр";"Центральный административный округ";"Мещанский район";"ул. Щепкина, д.47, стр. 2";"";"";"(916) 661 05 00";"";"teatrkotorogonet@mail.ru";"";"";"teatrkotorogonet.ru";"";"";"";"";"37.629065";"55.781664";"85978587";
221;"Театр";"Лианозовский театр";"Театр";"Северо-Восточный административный округ";"район Лианозово";"ул. Абрамцевская, д.9, корп. 1";"";"";"(499) 908 01 13";"";"egorova.ND@mail.ru";"";"";"lia-teatr.ru";"";"";"";"";"37.572142";"55.904096";"85978588";
222;"Театр";"Арт-турне";"Театр";"Центральный административный округ";"Таганский район";"Нижний Таганский тупик, д.3";"";"";"(495) 507 15 64, (903) 004 65 65";"";"info@artturne.ru";"";"";"artturne.ru";"";"";"";"";"37.65195";"55.744452";"85978589";
223;"Театр";"Россия";"Театр";"Центральный административный округ";"Тверской район";"Пушкинская пл., д.2";"";"";"(495) 788 46 46";"";"ofis@stage-entertainment.ru";"";"";"stage-musical.ru";"";"";"";"";"37.607422";"55.766201";"85978590";
224;"Театр";"Театральный особняк";"Театр";"Центральный административный округ";"Таганский район";"ул. Библиотечная, д.23";"";"";"(495) 678 40 29";"";"info@teatrosobnyak.ru";"";"";"teatrosobnyak.ru";"";"";"";"";"37.675486";"55.744885";"85978546";
225;"Театр";"Международная Чеховская лаборатория";"Театр";"Центральный административный округ";"Таганский район";"ул. Библиотечная, д.23";"";"";"(910) 401 72 50";"";"vgoultchenko@mtu-net.ru";"";"";"my.opera.com/militsky/albums/, kino-teatr.ruteatr/51/";"";"";"";"";"37.675486";"55.744885";"85978547";
226;"Театр";"Домашний театр в доме Щепкина";"Театр";"Центральный административный округ";"Мещанский район";"ул. Щепкина, д.47, стр. 2";"";"";"(495) 600 61 49";"";"";"";"";"gctm.ru";"";"";"";"";"37.629065";"55.781664";"85978548";
227;"Театр";"Театр Российской армии";"Театр";"Центральный административный округ";"Мещанский район";"Суворовская пл., д.2";"";"";"(495) 681 15 84, 681 21 10, 681 51 20";"";"gactk@mail.ru";"";"";"catra.su";"";"";"";"";"37.613863";"55.782789";"85978549";
228;"Театр";"Театр кукол им. Образцова";"Театр";"Центральный административный округ";"Тверской район";"ул. Садовая-Самотечная, д.3";"";"";"(495) 699 53 73, 699 33 10";"";"gactk@mail.ru";"";"";"puppet.ru";"";"";"";"";"37.614375";"55.774188";"85978550";
229;"Театр";"Студия Soundrama";"Театр";"Центральный административный округ";"Тверской район";"ул. Самотечная, д.17а";"";"";"(495) 600 69 92";"";"management@soundrama.ru";"";"";"soundrama.ru";"";"";"";"";"37.615723";"55.779959";"85978552";
230;"Театр";"Театр для всей семьи «Семицветик»";"Театр";"Северный административный округ";"Тимирязевский район";"ул. Тимирязевская, д.10/12";"";"";"(495) 764 52 90";"";"info@teatr-skazki.ru, admin@teatr-skazki.ru";"";"";"teatr-skazki.ru";"";"";"";"";"37.568384";"55.81217";"85978553";
231;"Театр";"Арлекин";"Театр";"Северо-Восточный административный округ";"Алексеевский район";"ул. Новоалексеевская, д.8";"";"";"(495) 997 81 96, 979 63 96";"";"main@arlekintheatre.com";"";"";"arlekintheatre.com";"";"";"";"";"37.643518";"55.807613";"85978554";
232;"Театр";"Малый драматический театр на Большой Серпуховской";"Театр";"Центральный административный округ";"район Замоскворечье";"ул. Большая Серпуховская, д.44";"";"";"(495) 775 98 41";"";"mdteatr.ceo@gmail.com";"";"";"vk.com/mdteatr, mdteatr.ru";"";"";"";"";"37.626587";"55.722766";"85978555";
233;"Театр";"Театр наций";"Театр";"Центральный административный округ";"Тверской район";"Петровский пер., д.3";"";"";"(495) 629 37 39, 629 53 97";"";"info@tofnations.ru";"";"";"theatreofnations.ru";"";"";"";"";"37.612809";"55.765896";"85978556";
234;"Театр";"Театр им. Наталии Сац";"Театр";"Юго-Западный административный округ";"Гагаринский район";"пр-т Вернадского, д.5";"";"";"(495) 930 70 21, 930 51 77";"";"marketing@teatr-sats.ru";"";"";"teatr-sats.ru";"";"";"";"";"37.544381";"55.69637";"85978557";
235;"Театр";"Старый Арбат";"Театр";"Центральный административный округ";"район Арбат";"Филипповский пер., д.11, стр. 2";"";"";"(495) 691 21 56";"";"old-arbat@yandex.ru";"";"";"old-arbat.narod.ru";"";"";"";"";"37.598282";"55.749577";"85978558";
236;"Театр";"Театр Кирилла Королева";"Театр";"Центральный административный округ";"Басманный район";"Семеновская наб., д.3/1, корп. 5";"";"";"(499) 148 12 56, (495) 442 35 37, (916) 351 86 02";"";"mtkk@mail.ru";"";"";"mtkk.ru";"";"";"";"";"37.704824";"55.779096";"85978559";
237;"Театр";"Без вывески";"Театр";"Северный административный округ";"район Коптево";"ул. Зои и Александра Космодемьянских, д.31, корп. 2";"";"";"(495) 159 98 83";"";"bez_vyveski@mail.ru";"";"";"bez-vyveski.ru";"";"";"";"";"37.522689";"55.824764";"85978560";
238;"Театр";"ГБУК Государственный академический малый театр России";"Театр";"Центральный административный округ";"Тверской район";"Театральная пл., д.1/6";"";"";"(495) 623-13-14, (495) 625-98-68";"";"";"";"";"";"";"";"";"";"37.618645";"55.75999";"85988065";
239;"Театр";"ГБУК КЗ им. П.И. Чайковского";"Театр";"Центральный административный округ";"Тверской район";"ул. Тверская, д.31";"";"";"(495) 699-49-81, (495) 694-58-22";"";"";"";"";"";"";"";"";"";"37.596002";"55.768888";"85988066";
240;"Театр";"ГАУК Московской области «Московский областной государственный театр кукол»";"Театр";"Центральный административный округ";"Таганский район";"Пестовский пер., д.2";"";"";"(495) 915-79-22, (495) 915-54-33";"";"";"";"";"";"";"";"";"";"37.659654";"55.745308";"85988067";
241;"Театр";"Дом-музей Ф.И. Шаляпина";"Театр";"Центральный административный округ";"Пресненский район";"Новинский б-р, д.25";"";"";"(495) 605-62-36";"";"Shalyapin.museum@gmail.com";"";"";"shalyapin-museum.org";"";"";"";"";"37.581118";"55.757022";"85988068";
